packetReceived:vector(packetBytes) NetworkWithShapingAndPolicing.H2.app[1] (#0 - Exp3RoundRobinWithPolicingAndShaping-0-20210404-00:58:48-71596),
3.717626002304,500
3.985126002304,500
4.252626002304,500
4.520126002304,500
4.787626002304,500
5.055126002304,500
5.322626002304,500
5.590126002304,500
5.857626002304,500
6.125126002304,500
6.927626002304,500
7.730126002304,500
8.532626002304,500
9.602626002304,500
12.277626002304,500
14.150126002304,500
19.871126039132,500
22.053626002304,500
22.989876002304,500
24.686126039132,500
25.664876002304,500
27.807126002304,500
35.351126039132,500
37.223626039132,500
38.026126039132,500
38.828626039132,500
39.631126039132,500
42.614126039132,500
43.416626039132,500
44.219126039132,500
45.289126039132,500
46.894126039132,500
47.964126039132,500
48.766626039132,500
49.569126039132,500
50.639126039132,500
54.054681538807,500
54.857181538807,500
56.729681538807,500
57.532181538807,500
58.399126039132,500
59.404681538807,500
60.207181538807,500
62.347181538807,500
65.891626039132,500
66.883181538807,500
68.488181538807,500
69.558181538807,500
70.439126039132,500
72.311626039132,500
73.303181538807,500
74.105681538807,500
81.061181538807,500
83.468681538807,500
85.341181538807,500
86.143681538807,500
88.018681538807,500
88.948118350498,500
90.693681538807,500
92.158118350498,500
92.960618350498,500
95.241181538807,500
96.043681538807,500
97.205618350498,500
99.880618350498,500
100.887181538807,500
101.957181538807,500
102.759681538807,500
104.632181538807,500
107.307181538807,500
108.109681538807,500
111.653118350498,500
112.723118350498,500
113.525618350498,500
115.398118350498,500
116.200618350498,500
117.003118350498,500
118.876118350498,500
119.946118350498,500
121.818629970498,500
122.621118350498,500
123.691118350498,500
124.493618350498,500
126.366118350498,500
127.168618350498,500
127.971118350498,500
130.656618350498,500
132.261618350498,500
133.866618350498,500
135.739118350498,500
136.541618350498,500
137.37857007675,500
138.414118350498,500
139.216618350498,500
142.437118350498,500
144.309618350498,500
145.647118350498,500
147.252118350498,500
148.054618350498,500
149.392118350498,500
150.194618350498,500
151.264618350498,500
154.209618350498,500
156.349618350498,500
157.419618350498,500
159.024618350498,500
160.926745062058,500
161.98157007675,500
164.917183356389,500
168.16257007675,500
170.03507007675,500
170.948683356389,500
172.018683356389,500
172.97757007675,500
175.11757007675,500
177.066183356389,500
178.06007007675,500
179.93307007675,500
180.73557007675,500
182.60807007675,500
183.41057007675,500
184.21307007675,500
185.091183356389,500
186.964183356389,500
187.95807007675,500
189.639183356389,500
191.70357007675,500
192.50607007675,500
194.454183356389,500
195.256683356389,500
196.059183356389,500
198.734683356389,500
200.339683356389,500
201.677183356389,500
203.549683356389,500
205.171183356389,500
206.224683356389,500
207.027183356389,500
207.829683356389,500
210.530357815195,500
211.577183356389,500
213.182183356389,500
215.033683356389,500
216.103683356389,500
216.906183356389,500
218.532183356389,500
219.581183356389,500
220.383683356389,500
223.037183356389,500
223.839683356389,500
224.642183356389,500
226.514683356389,500
227.584683356389,500
229.189683356389,500
229.992183356389,500
231.084183356389,500
231.886683356389,500
233.224183356389,500
234.294183356389,500
235.899183356389,500
236.701683356389,500
238.576683356389,500
240.449183356389,500
242.505694976389,500
243.295433356389,500
244.194183356389,500
245.167933356389,500
245.970433356389,500
247.842933356389,500
251.552933356389,500
253.291683356389,500
254.227933356389,500
255.164183356389,500
255.966683356389,500
256.902933356389,500
258.641683356389,500
259.577933356389,500
263.057933356389,500
264.662933356389,500
265.465433356389,500
267.337933356389,500
268.140433356389,500
269.210433356389,500
270.012933356389,500
271.082933356389,500
271.885433356389,500
275.097933356389,500
275.900433356389,500
276.702933356389,500
278.575433356389,500
279.377933356389,500
280.447933356389,500
281.250433356389,500
282.320433356389,500
284.192933356389,500
286.565433356389,500
287.635433356389,500
289.240433356389,500
290.310433356389,500
291.112933356389,500
292.450433356389,500
293.98307007675,500
295.85557007675,500
298.53057007675,500
299.33307007675,500
301.20557007675,500
302.00807007675,500
304.480433356389,500
305.45057007675,500
307.155433356389,500
308.12557007675,500
309.99807007675,500
311.87057007675,500
312.67307007675,500
313.74307007675,500
316.242933356389,500
317.045433356389,500
318.02557007675,500
319.720433356389,500
322.03807007675,500
322.84057007675,500
324.71307007675,500
325.51557007675,500
326.31807007675,500
328.21907007675,500
330.09157007675,500
